,Flux
190,8.095972195232786e-08
191,8.00262497279981e-08
192,7.933612471075678e-08
193,7.726501216963502e-08
194,7.333851087850687e-08
195,6.932965976600769e-08
196,6.618419378637253e-08
197,6.371577440693868e-08
198,6.221919696992381e-08
199,6.018477726413537e-08
200,5.872879958215788e-08
201,5.87434197336002e-08
202,5.825657787293702e-08
203,5.861842019791907e-08
204,5.9569078208888893e-08
205,6.01746703425655e-08
206,6.131970323480304e-08
207,6.296273291069977e-08
208,6.376645974079277e-08
209,6.375231390457105e-08
210,6.630208249762009e-08
211,6.965937399731121e-08
212,7.069343625475122e-08
213,7.371159229818542e-08
214,7.59154329280186e-08
215,7.502388965667017e-08
216,7.669650075625669e-08
217,7.748935078130098e-08
218,7.52154157898008e-08
219,7.264387430952312e-08
220,6.764198693254412e-08
221,6.134028823314822e-08
222,5.6593759391408905e-08
223,5.3221883419492006e-08
224,5.2999694966611646e-08
225,5.611222532223435e-08
226,5.938850268159648e-08
227,6.143715231937388e-08
228,6.076843707414635e-08
229,6.044159353162641e-08
230,6.343493448214065e-08
231,6.957894144542207e-08
232,7.773354777413761e-08
233,8.143519332444472e-08
234,8.032917415240085e-08
235,7.730875679662551e-08
236,7.322788110810288e-08
237,7.041759301538714e-08
238,6.862583375965731e-08
239,6.632575042812762e-08
240,6.930567549231839e-08
241,7.700010808735037e-08
242,8.32500974003361e-08
243,8.945008775188336e-08
244,8.991757897833264e-08
245,8.628832101349204e-08
246,8.483448883412008e-08
247,8.256353989851888e-08
248,7.964468589510228e-08
249,7.513021731349058e-08
250,7.012969556243097e-08
251,6.689172594105696e-08
252,6.377755326527225e-08
253,6.062479785031136e-08
254,5.682481800823124e-08
255,5.260483619518914e-08
256,4.909435257613688e-08
257,4.654741731415718e-08
258,4.480517557947372e-08
259,4.4312157973977756e-08
260,4.513094206695764e-08
261,4.6067847733880926e-08
262,4.739856280783443e-08
263,4.7946206387224736e-08
264,4.870158571921319e-08
265,5.084392719460167e-08
266,5.2272034547694505e-08
267,5.2632331199965514e-08
268,5.2694098209698994e-08
269,5.4374688608503296e-08
270,5.7892601944188986e-08
271,6.180794170180718e-08
272,6.376308325875095e-08
273,6.181021050825791e-08
274,5.988474309706552e-08
275,5.981510470456897e-08
276,6.138359432589481e-08
277,6.66952349302997e-08
278,7.105071135028161e-08
279,7.267064008229147e-08
280,7.251607590760155e-08
281,6.828946821185966e-08
282,6.249802136549452e-08
283,5.704821920631953e-08
284,5.2730897311672e-08
285,4.985780764585492e-08
286,4.70845269533102e-08
287,4.4763574344499516e-08
288,4.2024716964993114e-08
289,3.864724528124346e-08
290,3.584502076331514e-08
291,3.3098018689665305e-08
292,3.362571678294358e-08
293,3.736314503707427e-08
294,4.127683048909464e-08
295,4.544914741638752e-08
296,4.584173268359907e-08
297,4.3082559455218036e-08
298,4.041180353416129e-08
299,3.795812317886874e-08
300,3.613731084675841e-08
301,3.5048579726752945e-08
302,3.458122169453908e-08
303,3.373559947479087e-08
304,3.2587039489364506e-08
305,3.1328335528273107e-08
306,2.9658001985431292e-08
307,2.8129701794805146e-08
308,2.704173162482501e-08
309,2.5712558465088217e-08
310,2.426630261174224e-08
311,2.29271723406281e-08
312,2.1671955098039464e-08
313,2.0579759588363573e-08
314,2.194678366866392e-08
315,2.5614605364978203e-08
316,2.8865644881972925e-08
317,3.1616580443890835e-08
318,3.1679922422090386e-08
319,2.997443015656014e-08
320,2.9489487093438014e-08
321,2.9878038321622185e-08
322,3.5365234380221795e-08
323,4.509121084050292e-08
324,5.33445897022036e-08
325,6.002263069339453e-08
326,6.334536766286184e-08
327,6.317333098457844e-08
328,6.228099795751129e-08
329,6.176539822363201e-08
330,5.903885842026956e-08
331,5.403497256389109e-08
332,5.124397530161661e-08
333,5.351957780641772e-08
334,5.998012007055923e-08
335,6.763210808268635e-08
336,7.351889727747376e-08
337,7.37920075144879e-08
338,6.942530672363649e-08
339,6.417027603546599e-08
340,5.899074842328829e-08
341,5.425417357722508e-08
342,5.0303756208317854e-08
343,4.698588057374773e-08
344,4.688729247509391e-08
345,5.056106315344699e-08
346,5.465495677361164e-08
347,5.875196106589024e-08
348,6.017676498598995e-08
349,5.7846588548247015e-08
350,5.646192981323088e-08
351,5.591573698187904e-08
352,5.474916340556821e-08
353,5.397424717633537e-08
354,5.175182249935791e-08
355,4.8789140204889474e-08
356,4.6810226113485156e-08
357,4.465420343905144e-08
358,4.250128304223434e-08
359,4.086365474322775e-08
360,4.040228932458976e-08
361,4.1308525018428724e-08
362,4.869018214130319e-08
363,6.096575393404272e-08
364,7.308876850322743e-08
365,8.61530170381942e-08
366,9.219479573051196e-08
367,9.133781613883438e-08
368,8.811653452565525e-08
369,8.205488107858115e-08
370,7.602439296194543e-08
371,7.045945365669869e-08
372,6.570100828045727e-08
373,6.164340743825213e-08
374,5.7729066680752606e-08
375,5.429365998403835e-08
376,5.1201793934791074e-08
377,5.2869114436778414e-08
378,5.918220283156363e-08
379,6.752648235181526e-08
380,7.973633382042332e-08
381,8.937520007488002e-08
382,9.468767973653899e-08
383,9.72689114942523e-08
384,9.505452021146244e-08
385,8.99115681959997e-08
386,8.369541140616413e-08
387,7.788837027772976e-08
388,7.224953325021291e-08
389,6.781207988937686e-08
390,6.510587184902814e-08
391,6.29202846445016e-08
392,6.122825618318133e-08
393,5.8805430582344575e-08
394,5.554988755256568e-08
395,5.1769898799844285e-08
396,4.8880408864879385e-08
397,4.7979867886433926e-08
398,4.768188100382854e-08
399,4.810119278865208e-08
400,4.834107341692315e-08
401,4.708196603796076e-08
402,4.597376942116757e-08
403,4.493889249625763e-08
404,4.5945003390841466e-08
405,4.9225503303657444e-08
406,5.135295321244219e-08
407,5.291765812359377e-08
408,5.5263392565688144e-08
409,5.831205357452881e-08
410,6.168084847868697e-08
411,6.48252638906354e-08
412,6.495523760460334e-08
413,6.248471379969718e-08
414,6.328624224809543e-08
415,6.793261773232058e-08
416,7.275185572087023e-08
417,7.740166993642126e-08
418,7.867400284470723e-08
419,8.039410264296706e-08
420,8.474219249323382e-08
421,8.776797335165521e-08
422,9.064117613664551e-08
423,8.892705857601117e-08
424,8.382185269872231e-08
425,7.951466739964349e-08
426,7.766320056487498e-08
427,7.945938036700495e-08
428,8.16134422111904e-08
429,8.426459785219421e-08
430,8.737563800018664e-08
431,9.3850574259815e-08
