JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2457732.704565	14.027	0.134		CV	HKEB		ENSEMBLE	000-BBQ-061	15545BEK	OTHER	1	1.011	Z		13.611		OJ 287	AAVSO	STD				
2457733.49220	14.190	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.818	Z	-12.352		2457733.49575	OJ 287	AAM	STD				
2457733.493854	14.420	0.026		V	DAM		161		X15649LOX		0		Z	14.980			OJ 287	AAVSO	STD				
2457733.49503	14.195	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.784	Z	-12.342		2457733.49858	OJ 287	AAM	STD				
2457733.49787	14.191	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.750	Z	-12.359		2457733.50142	OJ 287	AAM	STD				
2457733.50069	14.176	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.719	Z	-12.264		2457733.50424	OJ 287	AAM	STD				
2457733.50353	14.183	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.689	Z	-12.360		2457733.50708	OJ 287	AAM	STD				
2457733.50635	14.200	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.660	Z	-12.375		2457733.50990	OJ 287	AAM	STD				
2457734.47411	14.198	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	2.040	Z	-12.275		2457734.47773	OJ 287	AAM	STD				
2457734.47643	14.404	0.009		V	NRNA		000-BBQ-029		X16263DI		0	1.690	Z	-13.476		2457734.48005	OJ 287	AAVSO	STD				
2457734.47694	14.222	0.012		CV	GFDB		000-BBQ-029		X15647EI		0	1.995	Z	-12.258		2457734.48056	OJ 287	AAM	STD				
2457734.47977	14.221	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.951	Z	-12.294		2457734.48339	OJ 287	AAM	STD				
2457734.48260	14.174	0.012		CV	GFDB		000-BBQ-029		X15647EI		0	1.910	Z	-12.222		2457734.48622	OJ 287	AAM	STD				
2457734.49148	14.217	0.007		SR	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.546	Z	-13.942	14.500	2457734.49510	OJ 287	AAVSO	STD				
2457734.50468	13.948	0.009		SI	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.445	Z	-13.444	14.391	2457734.50831	OJ 287	AAVSO	STD				
2457735.47765	14.459	0.009		V	NRNA		000-BBQ-029		X16263DI		0	1.649	Z	-13.421		2457735.48135	OJ 287	AAVSO	STD				
2457735.49110	14.751	0.009		SG	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.526	Z	-13.398	14.895	2457735.49480	OJ 287	AAVSO	STD				
2457735.50442	14.307	0.007		SR	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.428	Z	-14.021	14.506	2457735.50812	OJ 287	AAVSO	STD				
2457735.51781	14.035	0.009		SI	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.347	Z	-13.439	14.396	2457735.52151	OJ 287	AAVSO	STD				
2457735.52996	14.481	0.009		V	NRNA		000-BBQ-029		X16263DI		0	1.286	Z	-13.550		2457735.53366	OJ 287	AAVSO	STD				
2457735.54338	14.759	0.009		SG	NRNA		000-BBQ-029	CONTROL	X16263DI		0	1.231	Z	-13.427	14.880	2457735.54709	OJ 287	AAVSO	STD				
